employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100115,21,62,IS,Influencer-Steadiness,ENFJ,90,23,7
EMP100116,89,40,SI,Steadiness-Influencer,ISFP,,,7
EMP100117,40,98,,Dominant-Influencer,INFJ,86,25,5
EMP100118,67,31,IC,Influencer-Conscientious,ISTJ,,32,2
EMP100119,96,35,SI,Steadiness-Influencer,INTJ,102,29,1
EMP100120,53,45,SC,Steadiness-Conscientious,,127,29,8
EMP100121,95,85,,Steadiness-Dominant,INFJ,84,21,10
EMP100122,27,63,CS,Conscientious-Steadiness,ESTP,,,2
EMP100123,40,42,CD,Conscientious-Dominant,ESTJ,107,27,8
EMP100124,38,84,DC,Dominant-Conscientious,ESFP,,,8
EMP100125,28,72,DC,Dominant-Conscientious,ENTP,,30,6
EMP100126,86,53,DS,Dominant-Steadiness,ISFP,120,24,1
EMP100127,20,65,CI,Conscientious-Influencer,,,,1
EMP100128,70,69,DC,Dominant-Conscientious,ESTP,117,38,3
EMP100129,64,40,CS,Conscientious-Steadiness,ENTP,109,28,3
EMP100130,39,80,CD,Conscientious-Dominant,INTP,84,24,9
EMP100131,51,47,DS,Dominant-Steadiness,ESTP,102,24,2
EMP100132,66,59,SI,Steadiness-Influencer,ISFP,118,33,8
EMP100133,44,89,CI,Conscientious-Influencer,ENTP,104,39,4
EMP100134,33,89,CS,Conscientious-Steadiness,INTJ,119,22,6
EMP100135,87,64,,Conscientious-Influencer,INFP,113,27,7
EMP100136,45,53,ID,Influencer-Dominant,ESFJ,131,26,10
EMP100137,73,32,DC,Dominant-Conscientious,ESFJ,125,16,10
EMP100138,29,27,IC,Influencer-Conscientious,ISFJ,,,9
EMP100139,47,90,IC,Influencer-Conscientious,ENTP,,,8
EMP100140,92,73,DI,Dominant-Influencer,ISFP,,33,1
EMP100141,91,28,DC,Dominant-Conscientious,ENFJ,124,29,8
EMP100142,98,64,ID,Influencer-Dominant,ESTP,,,1
EMP100143,38,93,IS,Influencer-Steadiness,ESFP,122,21,3
EMP100144,60,58,CI,Conscientious-Influencer,ENFP,,23,8
EMP100145,51,100,SC,Steadiness-Conscientious,INFP,107,31,9
EMP100146,90,91,CS,Conscientious-Steadiness,INTP,120,21,9
EMP100147,67,49,IS,Influencer-Steadiness,ESFJ,,34,5
EMP100148,43,77,IS,Influencer-Steadiness,INTP,120,34,2
EMP100149,28,28,,Dominant-Conscientious,ESTJ,122,26,7
EMP100150,69,77,CS,Conscientious-Steadiness,ENFP,125,26,4
EMP100151,35,65,DI,Dominant-Influencer,INTP,123,15,10
EMP100152,33,67,IC,Influencer-Conscientious,,93,22,6
EMP100153,85,73,CI,Conscientious-Influencer,ENFJ,,31,9
EMP100154,86,42,ID,Influencer-Dominant,ESFP,117,26,10
EMP100155,73,57,CD,Conscientious-Dominant,ENTP,,,4
EMP100156,51,58,SI,Steadiness-Influencer,ESFJ,80,29,7
EMP100157,34,50,IC,Influencer-Conscientious,ISTJ,118,24,4
EMP100158,33,64,SD,Steadiness-Dominant,INTJ,137,23,6
EMP100159,94,74,CI,Conscientious-Influencer,INFJ,,29,4
EMP100160,70,90,DC,Dominant-Conscientious,INTP,133,25,4
EMP100161,42,52,CD,Conscientious-Dominant,,113,20,3
EMP100162,43,93,DI,Dominant-Influencer,ENTP,138,22,2
EMP100163,57,96,,Influencer-Conscientious,ESTP,137,28,10
EMP100164,88,41,IS,Influencer-Steadiness,ENFJ,,34,9
EMP100165,48,39,CS,Conscientious-Steadiness,ENTP,123,29,5
EMP100166,38,31,IC,Influencer-Conscientious,ISFP,,,10
EMP100167,67,21,CD,Conscientious-Dominant,ESTP,119,24,1
EMP100168,33,65,CI,Conscientious-Influencer,ISTJ,114,34,1
EMP100169,90,43,CS,Conscientious-Steadiness,ESFP,101,20,3
EMP100170,55,95,CI,Conscientious-Influencer,INFJ,,,1
EMP100171,91,66,IC,Influencer-Conscientious,ISFJ,136,22,4
EMP100172,77,34,CI,Conscientious-Influencer,ENTP,115,22,10
EMP100173,75,42,ID,Influencer-Dominant,INTP,,27,2
EMP100174,70,77,IC,Influencer-Conscientious,ESFJ,,,4
EMP100175,30,89,IC,Influencer-Conscientious,ESFJ,133,25,3
EMP100176,54,47,SD,Steadiness-Dominant,ENTP,134,38,6
EMP100177,57,28,DI,Dominant-Influencer,INTJ,86,28,3
EMP100178,73,63,DI,Dominant-Influencer,ESFJ,106,27,2
EMP100179,57,94,SD,Steadiness-Dominant,ESTJ,,,2
EMP100180,97,58,CS,Conscientious-Steadiness,INTJ,101,42,10
EMP100181,57,82,DC,Dominant-Conscientious,ESFJ,,,8
EMP100182,27,67,CD,Conscientious-Dominant,ENTP,,,6
EMP100183,29,87,CI,Conscientious-Influencer,INTP,,,3
EMP100184,26,44,CS,Conscientious-Steadiness,ENTJ,113,26,3
EMP100185,31,68,SD,Steadiness-Dominant,INFJ,,28,3
EMP100186,34,44,CI,Conscientious-Influencer,ENTP,128,37,9
EMP100187,72,88,CD,Conscientious-Dominant,ENFP,88,23,7
EMP100188,90,92,DI,Dominant-Influencer,INFP,92,26,4
EMP100189,22,30,CI,Conscientious-Influencer,ENFJ,129,25,2
EMP100190,88,99,ID,Influencer-Dominant,INFP,112,19,5
EMP100191,45,44,SC,Steadiness-Conscientious,ENFJ,138,18,6
EMP100192,70,35,SI,Steadiness-Influencer,INTP,111,34,2
EMP100193,26,39,DI,Dominant-Influencer,INFJ,134,30,10
EMP100194,58,59,CD,Conscientious-Dominant,ISFP,109,34,9
EMP100195,72,27,IC,Influencer-Conscientious,ENFJ,124,31,8
EMP100196,98,73,DS,Dominant-Steadiness,ISFJ,,,3
EMP100197,51,52,CI,Conscientious-Influencer,INFJ,83,27,1
EMP100198,20,30,SD,Steadiness-Dominant,ESTJ,87,20,9
EMP100199,99,23,CI,Conscientious-Influencer,,97,24,9
EMP100200,24,99,CI,Conscientious-Influencer,ISTJ,102,25,7
EMP100201,39,98,DC,Dominant-Conscientious,ISFJ,101,31,9
EMP100202,64,24,SI,Steadiness-Influencer,ENFP,111,21,2
EMP100203,72,74,CD,Conscientious-Dominant,ESFP,92,29,2
EMP100204,59,84,CI,Conscientious-Influencer,ISFJ,,,6
EMP100205,61,36,CS,Conscientious-Steadiness,INFJ,139,28,5
EMP100206,24,40,IS,Influencer-Steadiness,INTJ,115,33,6
EMP100207,62,95,,Dominant-Influencer,ESTJ,91,26,7
EMP100208,92,48,DI,Dominant-Influencer,ESFP,89,33,2
EMP100209,29,34,IS,Influencer-Steadiness,ESTJ,126,21,6
EMP100210,32,73,ID,Influencer-Dominant,ISTJ,,,7
EMP100211,27,69,DC,Dominant-Conscientious,INTJ,135,30,2
EMP100212,91,31,ID,Influencer-Dominant,INTP,92,31,8
EMP100213,41,36,DS,Dominant-Steadiness,ENTJ,94,32,4
EMP100214,43,99,CD,Conscientious-Dominant,INTP,,,4
EMP100215,64,79,CS,Conscientious-Steadiness,ENFP,105,20,7
EMP100216,85,20,DC,Dominant-Conscientious,INFP,111,25,5
EMP100217,66,88,SC,Steadiness-Conscientious,INTP,,32,1
EMP100218,59,98,ID,Influencer-Dominant,ESTP,95,27,1
EMP100219,69,52,ID,Influencer-Dominant,ENTJ,106,39,2
EMP100220,56,76,SI,Steadiness-Influencer,INTP,84,18,1
EMP100221,61,50,SI,Steadiness-Influencer,ESFJ,119,33,5
EMP100222,30,93,CD,Conscientious-Dominant,INTJ,88,28,4
EMP100223,61,96,IS,Influencer-Steadiness,ENFP,96,23,8
EMP100224,79,67,CD,Conscientious-Dominant,ENFJ,114,22,8
EMP100225,38,28,SI,Steadiness-Influencer,,123,31,4
EMP100226,76,73,CS,Conscientious-Steadiness,ENTP,124,30,8
EMP100227,39,89,DS,Dominant-Steadiness,ISTJ,102,24,4
EMP100228,97,46,ID,Influencer-Dominant,ISFJ,116,29,6
EMP100229,69,55,CI,Conscientious-Influencer,ISFP,103,12,8
EMP100230,30,63,IC,Influencer-Conscientious,ESFP,90,18,7
EMP100231,60,70,SI,Steadiness-Influencer,ENFP,139,23,6
EMP100232,59,75,IC,Influencer-Conscientious,ESTJ,,,9
EMP100233,81,41,,Influencer-Conscientious,ENFP,125,31,5
EMP100234,76,87,IC,Influencer-Conscientious,ENTJ,117,31,3
EMP100235,24,57,CI,Conscientious-Influencer,ESFP,88,24,5
EMP100236,58,84,IS,Influencer-Steadiness,ISFP,116,31,2
EMP100237,54,80,CS,Conscientious-Steadiness,ESFJ,140,34,1
EMP100238,63,20,DI,Dominant-Influencer,ESFJ,,,5
EMP100239,47,41,CS,Conscientious-Steadiness,ISFP,,,3
EMP100240,26,35,SI,Steadiness-Influencer,ENFP,84,28,1
EMP100241,98,89,,Conscientious-Steadiness,ISTJ,,,8
EMP100242,46,97,CS,Conscientious-Steadiness,ESFP,93,24,2
EMP100243,30,50,SI,Steadiness-Influencer,ISFP,116,34,5
EMP100244,84,47,DC,Dominant-Conscientious,INTJ,128,36,1
EMP100245,63,98,,Steadiness-Dominant,ISTJ,,,9
EMP100246,38,61,CS,Conscientious-Steadiness,ESTJ,82,24,7
EMP100247,82,58,IC,Influencer-Conscientious,ENFJ,85,21,8
EMP100248,54,20,SI,Steadiness-Influencer,,102,34,3
EMP100249,36,42,SI,Steadiness-Influencer,ISFJ,86,29,6
EMP100250,33,50,DI,Dominant-Influencer,ENFP,89,28,1
EMP100251,64,20,SC,Steadiness-Conscientious,ISTP,121,25,7
EMP100252,35,34,SD,Steadiness-Dominant,ENFJ,105,25,5
EMP100253,48,93,IC,Influencer-Conscientious,INTP,91,23,2
EMP100254,99,39,ID,Influencer-Dominant,ESTJ,84,13,9
EMP100255,96,52,SD,Steadiness-Dominant,INFP,121,25,1
EMP100256,59,25,CD,Conscientious-Dominant,ISFJ,80,38,3
EMP100257,54,95,SC,Steadiness-Conscientious,,,,9
EMP100258,74,63,DS,Dominant-Steadiness,INFJ,121,29,5
EMP100259,97,22,CI,Conscientious-Influencer,INFP,88,34,2
EMP100260,42,80,ID,Influencer-Dominant,ESTP,87,14,1
EMP100261,43,53,IS,Influencer-Steadiness,INFP,138,18,6
EMP100262,94,31,DS,Dominant-Steadiness,ISFJ,136,19,4
EMP100263,73,79,DS,Dominant-Steadiness,ESFJ,123,24,1
EMP100264,38,97,SD,Steadiness-Dominant,ESTP,91,19,3
EMP100265,77,55,IS,Influencer-Steadiness,ENTP,91,29,7
EMP100266,26,39,SI,Steadiness-Influencer,ISFP,98,33,3
EMP100267,69,62,CD,Conscientious-Dominant,ENFP,,,7
EMP100268,98,67,DC,Dominant-Conscientious,ENTP,94,33,6
EMP100269,26,20,CS,Conscientious-Steadiness,ISFP,84,25,6
EMP100270,98,22,DS,Dominant-Steadiness,ISTP,85,22,1
EMP100271,55,36,IC,Influencer-Conscientious,ISFJ,92,21,1
EMP100272,71,22,CS,Conscientious-Steadiness,INFJ,,24,5
EMP100273,22,35,IC,Influencer-Conscientious,ESFJ,,,2
EMP100274,98,46,DS,Dominant-Steadiness,ENFJ,94,40,10
EMP100275,95,38,CI,Conscientious-Influencer,ESFJ,125,26,3
EMP100276,67,59,SI,Steadiness-Influencer,ENFJ,,,4
EMP100277,49,62,CD,Conscientious-Dominant,ESFP,119,36,1
EMP100278,84,46,CD,Conscientious-Dominant,ISTJ,,28,6
EMP100279,73,36,,Steadiness-Influencer,ENTJ,106,30,3
EMP100280,26,63,DC,Dominant-Conscientious,ESFJ,119,13,2
EMP100281,43,40,CD,Conscientious-Dominant,ESTJ,93,27,6
EMP100282,91,61,SC,Steadiness-Conscientious,INTJ,126,37,8
EMP100283,32,47,CS,Conscientious-Steadiness,ESFP,139,33,9
EMP100284,46,48,IC,Influencer-Conscientious,ISFJ,98,22,2
EMP100285,29,87,CI,Conscientious-Influencer,INFP,140,27,8
EMP100286,96,60,IS,Influencer-Steadiness,,96,25,6
EMP100287,90,68,,Dominant-Influencer,ESTJ,104,37,6
EMP100288,29,70,ID,Influencer-Dominant,ISTP,82,21,6
EMP100289,97,26,SI,Steadiness-Influencer,ISTP,88,25,9
EMP100290,78,60,DI,Dominant-Influencer,,85,32,2
EMP100291,39,31,CD,Conscientious-Dominant,ISTP,123,26,6
EMP100292,83,36,CS,Conscientious-Steadiness,ENFJ,92,25,3
EMP100293,81,66,DI,Dominant-Influencer,INFJ,82,27,7
EMP100294,92,78,CI,Conscientious-Influencer,INFJ,124,25,5
EMP100295,84,73,CS,Conscientious-Steadiness,INTP,102,30,10
EMP100296,92,54,ID,Influencer-Dominant,ISFP,84,24,4
EMP100297,27,65,DS,Dominant-Steadiness,INFP,135,29,8
EMP100298,99,62,SC,Steadiness-Conscientious,ESFP,81,29,5
EMP100299,40,71,IC,Influencer-Conscientious,ENTJ,125,23,8
EMP100300,99,80,,Dominant-Steadiness,ENFJ,126,31,4
EMP100301,36,72,SI,Steadiness-Influencer,ENTP,123,23,7
EMP100302,56,74,IC,Influencer-Conscientious,INTP,130,26,10
EMP100303,44,86,DC,Dominant-Conscientious,ENFP,94,23,10
EMP100304,62,53,CI,Conscientious-Influencer,,,,7
EMP100305,59,76,,Conscientious-Influencer,ESTJ,113,25,9
EMP100306,22,59,,Dominant-Influencer,ESTJ,,39,6
EMP100307,40,52,SC,Steadiness-Conscientious,ESFJ,,,10
EMP100308,98,26,DI,Dominant-Influencer,ESFP,105,24,6
EMP100309,91,95,SC,Steadiness-Conscientious,ENTP,120,28,1
EMP100310,21,92,SI,Steadiness-Influencer,ESFP,91,31,5
EMP100311,71,46,IS,Influencer-Steadiness,INTP,102,23,10
EMP100312,53,24,ID,Influencer-Dominant,INTJ,,,10
EMP100313,85,69,,Influencer-Dominant,INTP,105,30,4
EMP100314,66,35,SC,Steadiness-Conscientious,INTJ,116,22,1
EMP100315,77,50,CS,Conscientious-Steadiness,ISFP,99,28,2
EMP100316,63,34,DC,Dominant-Conscientious,ISFP,82,28,7
EMP100317,43,64,ID,Influencer-Dominant,ISFP,95,35,6
EMP100318,58,90,ID,Influencer-Dominant,ENFP,,,1
EMP100319,60,44,SD,Steadiness-Dominant,,139,32,7
EMP100320,46,82,DS,Dominant-Steadiness,ISFP,99,22,6
EMP100321,80,47,SI,Steadiness-Influencer,INFJ,136,31,10
EMP100322,83,90,DS,Dominant-Steadiness,ISTP,85,25,10
EMP100323,65,90,CD,Conscientious-Dominant,ENFP,92,32,2
EMP100324,47,47,CI,Conscientious-Influencer,ISTP,108,28,5
EMP100325,58,66,DC,Dominant-Conscientious,INTP,,35,5
EMP100326,38,47,ID,Influencer-Dominant,ISTP,92,36,2
EMP100327,48,22,SC,Steadiness-Conscientious,ENFJ,122,33,3
EMP100328,80,30,IS,Influencer-Steadiness,ENTP,130,38,2
EMP100329,93,48,DI,Dominant-Influencer,ISTP,92,19,3
EMP100330,93,76,IC,Influencer-Conscientious,ESTP,,36,1
EMP100331,74,31,ID,Influencer-Dominant,,127,28,10
EMP100332,57,26,CD,Conscientious-Dominant,ISFP,95,25,8
EMP100333,64,56,CS,Conscientious-Steadiness,ENFP,92,24,4
EMP100334,24,88,DC,Dominant-Conscientious,ENFJ,,,5
EMP100335,85,31,,Influencer-Steadiness,INFP,119,37,5
EMP100336,46,96,SI,Steadiness-Influencer,ISTJ,117,30,5
EMP100337,53,78,,Steadiness-Conscientious,ENTJ,85,22,4
EMP100338,99,96,SC,Steadiness-Conscientious,ESFJ,,,6
EMP100339,67,82,IC,Influencer-Conscientious,INFP,81,27,4
EMP100340,94,25,SD,Steadiness-Dominant,INTP,,,5
EMP100341,63,42,IC,Influencer-Conscientious,ESFJ,136,22,7
EMP100342,72,82,SI,Steadiness-Influencer,INFP,88,33,8
EMP100343,22,68,DC,Dominant-Conscientious,INTJ,,28,8
EMP100344,69,75,IS,Influencer-Steadiness,INTP,,,7
EMP100345,23,47,ID,Influencer-Dominant,ESFP,139,26,1
EMP100346,93,89,IC,Influencer-Conscientious,INTJ,94,23,3
EMP100347,54,98,CD,Conscientious-Dominant,ENTJ,,,5
EMP100348,24,49,SI,Steadiness-Influencer,INFJ,95,26,2
EMP100349,42,31,IC,Influencer-Conscientious,ESTP,,,5
EMP100350,42,69,DC,Dominant-Conscientious,,,,9
EMP100351,48,91,CS,Conscientious-Steadiness,INTJ,139,31,6
EMP100352,93,95,SD,Steadiness-Dominant,ISTJ,85,29,6
EMP100353,29,93,DI,Dominant-Influencer,ENFJ,89,41,7
EMP100354,49,82,CD,Conscientious-Dominant,INFP,,,1
EMP100355,68,22,CD,Conscientious-Dominant,,103,26,3
EMP100356,38,84,DS,Dominant-Steadiness,ENTJ,,,2
EMP100357,61,99,ID,Influencer-Dominant,ENTJ,119,30,1
EMP100358,29,98,,Steadiness-Conscientious,ENFJ,127,25,10
EMP100359,47,25,SC,Steadiness-Conscientious,,91,22,4
EMP100360,91,92,DC,Dominant-Conscientious,ENTJ,110,26,2
EMP100361,32,47,IS,Influencer-Steadiness,ESFJ,83,34,4
EMP100362,100,64,,Steadiness-Influencer,,,29,4
EMP100363,52,85,IC,Influencer-Conscientious,INTP,128,27,5
EMP100364,59,86,IS,Influencer-Steadiness,ESTP,97,31,4
EMP100365,33,27,CI,Conscientious-Influencer,INFP,111,27,9
EMP100366,23,34,DI,Dominant-Influencer,ESTP,93,22,8
EMP100367,80,42,SD,Steadiness-Dominant,ISFJ,119,27,3
EMP100368,73,98,SD,Steadiness-Dominant,ESTP,119,21,9
EMP100369,37,75,SC,Steadiness-Conscientious,INTJ,106,26,2
EMP100370,38,23,DS,Dominant-Steadiness,ISTP,83,25,5
EMP100371,24,73,CS,Conscientious-Steadiness,ESFJ,137,15,8
EMP100372,46,53,IS,Influencer-Steadiness,,128,28,5
EMP100373,64,31,DI,Dominant-Influencer,ENTJ,136,32,10
EMP100374,34,86,DI,Dominant-Influencer,ENFJ,,32,7
EMP100375,27,90,DS,Dominant-Steadiness,INTP,100,17,10
EMP100376,79,85,IC,Influencer-Conscientious,ENFJ,,,9
EMP100377,29,97,CI,Conscientious-Influencer,INFP,94,31,6
EMP100378,80,47,DC,Dominant-Conscientious,ISTP,119,40,9
EMP100379,55,56,SD,Steadiness-Dominant,ENTJ,,,9
EMP100380,99,47,,Conscientious-Dominant,INFP,,,5
EMP100381,70,71,DC,Dominant-Conscientious,ISTP,107,19,1
EMP100382,50,96,DS,Dominant-Steadiness,ESTP,,,1
EMP100383,39,100,SC,Steadiness-Conscientious,ESTJ,98,19,2
EMP100384,26,44,,Dominant-Conscientious,enfp,122,24,1
EMP100385,86,22,CI,Conscientious-Influencer,ISFP,113,18,2
EMP100386,64,88,SC,Steadiness-Conscientious,ISFJ,140,34,6
EMP100387,59,29,,Steadiness-Conscientious,ENFJ,,27,5
EMP100388,22,51,SD,Steadiness-Dominant,ISFP,140,27,2
EMP100389,83,30,SI,Steadiness-Influencer,INTP,,43,2
EMP100390,38,37,DC,Dominant-Conscientious,ENFJ,125,31,4
EMP100391,80,85,IS,Influencer-Steadiness,INFJ,131,38,9
EMP100392,94,57,SI,Steadiness-Influencer,,110,18,7
EMP100393,26,92,ID,Influencer-Dominant,ESFJ,120,28,10
EMP100394,61,85,CD,Conscientious-Dominant,ISTP,131,27,4
EMP100395,60,72,SC,Steadiness-Conscientious,ESFJ,139,35,1
EMP100396,88,23,DC,Dominant-Conscientious,ESTJ,138,32,1
EMP100397,67,44,DI,Dominant-Influencer,ISTP,,16,7
EMP100398,51,50,ID,Influencer-Dominant,ESFP,138,20,1
EMP100399,89,43,,Dominant-Conscientious,ISTJ,128,24,3
EMP100400,96,80,ID,Influencer-Dominant,ENFP,96,23,9
EMP100401,78,22,DC,Dominant-Conscientious,ISFP,,,4
EMP100402,90,94,ID,Influencer-Dominant,INFP,83,33,5
EMP100403,44,85,IC,Influencer-Conscientious,ENFJ,104,32,2
